Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Canan KALSIN;ÝSTANBUL;;Marmara;AK Parti;1967;53;Elazýð;Ýþinsaný;AKP;Bekar;0;Marmara;Türk Dili ;Yükseklisans;Ýngilizce;Osmanlýca;Kadýn;;;;;;;;;;;
Celal ADAN;ÝSTANBUL;;Marmara;MHP;1951;69;Aðrý;Mühendis;MHP;Evli;2;Ýstanbul;Orman ;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cemal ÇETÝN;ÝSTANBUL;;Marmara;MHP;1963;57;Kayseri;Mühendis;MHP;Evli;2;Çukurova;Mühendislik;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Dilþat CANBAZ KAYA;ÝSTANBUL;;Marmara;HDP;1973;47;Ankara;Ýþçi;HDP;Evli;3;;;Lise mezunu;;;Kadýn;;;;;;;;;;;
Edip Semih YALÇIN;ÝSTANBUL;;Marmara;MHP;1958;62;Sivas;Akademisyen;MHP;Evli;4;Ankara;Tarih.Coðrafya;Profesör;Ýngilizce;;Erkek;;;;;;;;;;;
Emine Gülizar EMECAN;ÝSTANBUL;;Marmara;CHP;1968;52;Antalya;Mühendis;CHP;Evli;2;Ýstanbul Teknik;Ýnþaat;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Emine Sare AYDIN;ÝSTANBUL;;Marmara;AK Parti;1975;45;Zonguldak;Akademisyen;AKP;Evli ;1;Ýstanbul ;Alman Dili;Doktora;Ýngilizce;Almanca;Kadýn;;;;;;;;;;;
Engin ALTAY;ÝSTANBUL;;Marmara;CHP;1963;57;Sinop;Öðretmen;CHP;Evli;1;Dokuz Eylül;;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Erdoðan TOPRAK;ÝSTANBUL;;Marmara;CHP;1961;59;Adana;Ýþinsaný;CHP;Evli;3;Anadolu;Sosyal Bilimler;Lisans;;;Erkek;;;;;;;;;;;
Erkan BAÞ;ÝSTANBUL;;Marmara;TÝP;1979;41;Almanya;Siyasetçi;TÝP;Evli;2;Ýstanbul;Edebiyat;Lisans;;;Erkek;;;;;;;;;;;
Erkan KANDEMÝR;ÝSTANBUL;;Marmara;AK Parti;1981;39;Ýstanbul ;Mühendis;AKP;Evli;1;Sakarya;Ýnþaat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Erol KATIRCIOÐLU;ÝSTANBUL;;Marmara;HDP;1951;69;Ýstanbul;Akademisyen ;HDP;Evli;?;Ýstanbul;Ýktisat;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Erol KAYA;ÝSTANBUL;;Marmara;AK Parti;1959;61;Sakarya;Siyasetçi;AKP;Evli ;3;Anadolu;Ýktisat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Eyüp ÖZSOY;ÝSTANBUL;;Marmara;AK Parti;1983;37;Ýstanbul ;Mimar;AKP;Evli;2;Ýstanbul;Mimarlýk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Fatih Mehmet ÞEKER;ÝSTANBUL;;Marmara;BAÐIMSIZ;1975;45;Mersin ;Akademisyen;Baðýmsýz;?;?;Uludað;;Doktora;;;Erkek;;;;;;;;;;;
Fatih Süleyman DENÝZOLGUN;ÝSTANBUL;;Marmara;AK Parti;1987;33;Üsküdar;Mühendis;AKP;?;?;Ýstanbul Teknik;Ýnþaat;Yükseklisans;;;Erkek;;;;;;;;;;;
Fatma Betül SAYAN KAYA;ÝSTANBUL;;Marmara;AK Parti;1981;39;Ýstanbul ;Doktor;AKP;Evli ;2;Cerrahpaþa;Týp;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Fethi AÇIKEL;ÝSTANBUL;;Marmara;CHP;1970;50;Antakya;Akademisyen;CHP;Evli ;2;Ankara;Siyasal Bilim;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Feti YILDIZ;ÝSTANBUL;;Marmara;MHP;1953;67;Yozgat;Avukat;MHP;Evli ;2;Ýstanbul;Hukuk;Lisans;Fransýzca;;Erkek;;;;;;;;;;;
Gamze AKKUÞ ÝLGEZDÝ;ÝSTANBUL;;Marmara;CHP;1969;51;Ýstanbul ;Diþ Hekimi;CHP;Evli ;1;Marmara;Diþ Hekimliði;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Gökan ZEYBEK;ÝSTANBUL;;Marmara;CHP;1964;56;Bayburt;Siyasetçi;CHP;Evli ;2;Ýstanbul Teknik;Mimarlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Gürsel TEKÝN;ÝSTANBUL;;Marmara;CHP;1964;56;Ardahan;Siyasetçi;CHP;Evli ;3;;;;;;Erkek;;;;;;;;;;;
Hakký Saruhan OLUÇ;ÝSTANBUL;;Marmara;HDP;1958;62;Ýstanbul;Mühendis;ÖDP;Evli ;?;Almanya;Makine Mühendisliði;Yükseklisans;;;Erkek;;;;;;;;;;;
Halis DALKILIÇ;ÝSTANBUL;;Marmara;AK Parti;1968;52;Malatya;Ýþinsaný;AKP;Evli ;3;Anadolu;Ýktisat;Lisans;;;Erkek;;;;;;;;;;;
Hasan TURAN;ÝSTANBUL;;Marmara;AK Parti;1967;53;Giresun ;Ýþinsaný;AKP;Evli ;2;Beykent ;Yönetiþim;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hayati ARKAZ;ÝSTANBUL;;Marmara;MHP;;2020;Sivas;Ýþinsaný;MHP;Evli ;2;Çapa;Týp;Lisans;;;Erkek;;;;;;;;;;;
Hayrettin NUHOÐLU;ÝSTANBUL;;Marmara;ÝYÝ Parti;1953;67;Trabzon ;Ýþinsaný;Ýyi Parti ;Evli ;3;Yýldýz Teknik;Ýnþaat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hulusi ÞENTÜRK;ÝSTANBUL;;Marmara;AK Parti;1963;57;Ýstanbul ;Ýþinsaný;AKP;Evli ;3;Ýstanbul Teknik;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hüda KAYA;ÝSTANBUL;;Marmara;HDP;1960;60;Ýstanbul;Siyasetçi;HDP;Evli ;4;.;.;.;Ýngilizce;;Kadýn;;;;;;;;;;;
Ýbrahim Özden KABOÐLU;ÝSTANBUL;;Marmara;CHP;1950;70;Artvin;Akademisyen;CHP;Evli ;1;Ankara;Hukuk;Doktora;Fransýzca;Ýngilizce;Erkek;;;;;;;;;;;
Ýffet POLAT;ÝSTANBUL;;Marmara;AK Parti;1968;52;Ýstanbul;Sivil Toplum Yöneticisi;AKP;Evli ;2;Boðaziçi;Türk Dili ;Lisans;Ýngilizce;Arapça;Kadýn;;;;;;;;;;;
Ýlhan KESÝCÝ;ÝSTANBUL;;Marmara;CHP;1948;72;Sivas;Mühendis;CHP;Evli ;1;ODTU;Endüstri;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail Faruk AKSU;ÝSTANBUL;;Marmara;MHP;1963;57;Ünye;Bürokrat;MHP;Evli ;2;Uludað;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmet UÇMA;ÝSTANBUL;;Marmara;AK Parti;1955;65;Fatsa;Siyasetçi;AKP;Evli ;6;Marmara;Ýlahiyat;Doktora;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Ýzzet Ulvi YÖNTER;ÝSTANBUL;;Marmara;MHP;1976;44;Afyonkarahisar;Bürokrat;MHP;Evli ;1;Ýstanbul;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mahmut TANAL;ÝSTANBUL;;Marmara;CHP;1961;59;Þanslýurfa;Avukat;CHP;Evli ;2;Ýstanbul;Hukuk;Lisans;Almanca;;Erkek;;;;;;;;;;;
Mehmet BEKAROÐLU;ÝSTANBUL;;Marmara;CHP;1954;66;Rize;Akademisyen   ;CHP;Evli ;7;Ankara;;Profesör;Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet MUÞ;ÝSTANBUL;;Marmara;AK Parti;1982;38;Trabzon;Ekonomist;AKP;Evli;1;;Ekonomi;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Akif HAMZAÇEBÝ;ÝSTANBUL;;Marmara;CHP;1953;67;Trabzon;Bürokrat;CHP;Evli;1;Washington State University;Ekonomi;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Doðan KUBAT;ÝSTANBUL;;Marmara;AK Parti;1969;51;Ankara;Avukat;AKP;Evli;2;Gazi Üniversitesi;Hukuk;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Memet Bülent KARATAÞ;ÝSTANBUL;;Marmara;MHP;1970;50;Kars;Siyasetçi;MHP;Evli;3;Marmara;.;.;Ýngilizce;;Erkek;;;;;;;;;;;
Mihrimah Belma SATIR;ÝSTANBUL;;Marmara;AK Parti;1961;59;Erzurum;Avukat;AKP;Evli;1;.;Hukuk;Lisans;Yok;;Kadýn;;;;;;;;;;;
Musa PÝROÐLU;ÝSTANBUL;;Marmara;HDP;1968;52;Kýrþehir;Öðretmen;BSP;Bekar;0;Ýstanbul Üniversitesi;Tarih;Lisans;Yok;;Erkek;;;;;;;;;;;
Mustafa ATAÞ;ÝSTANBUL;;Marmara;AK Parti;1957;63;Tunceli;Siyasetçi;Milli Selamet Partisi;Evli;2;Dokuz Eylül Üniversitesi;Ýlahiyat;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Mustafa DEMÝR;ÝSTANBUL;;Marmara;AK Parti;1961;59;Trabzon;Mimar;AKP;Evli;5;Marmara Üniversitesi;Mimarlýk;Lisans;Yok;;Erkek;;;;;;;;;;;
Mustafa YENEROÐLU;ÝSTANBUL;;Marmara;DEVA;1975;45;Bayburt;Avukat;AKP;Evli;3;Karadeniz Teknik Üniversitesi;Hukuk;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Mustafa Sezgin TANRIKULU;ÝSTANBUL;;Marmara;CHP;1963;57;Diyarbakýr;Avukat;CHP;Evli;3;Köln Üniversitesi;Kamu Hukuku;Yüksek Lisans;Ýngilizce;Kürtçe;Erkek;;;;;;;;;;;
Müþerref Pervin Tuba DURGUT;ÝSTANBUL;;Marmara;AK Parti;1973;47;Rize;Siyasetçi;AKP;Evli;2;Dicle Üniversitesi;Halk Saðlýðý;Yüksek Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Nazýr Cihangir ÝSLAM;ÝSTANBUL;;Marmara;BAÐIMSIZ;1959;61;Sakarya;Doktor;Saadet Partisi;Evli;3;Indiana Üniversitesi;Týp;Yüksek Lisans;Ýngilizce;Almanca & Arapça;Erkek;;;;;;;;;;;
Nevzat ÞATIROÐLU;ÝSTANBUL;;Marmara;AK Parti;1967;53;Sivas;Ýþinsaný;AKP;Evli;2;McGill Üniversitesi;Ýþletme;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Numan KURTULMUÞ;ÝSTANBUL;;Marmara;AK Parti;1959;61;Ordu;Ýþinsaný;Fazilet Partisi;Evli;3;Beykent Üniversitesi;Ýþletme;Yüksek Lisans;Yok;;Erkek;;;;;;;;;;;
Nurettin CANÝKLÝ;ÝSTANBUL;;Marmara;AK Parti;1960;60;Giresun;Bürokrat;AKP;Evli;4;Ýstanbul Üniversitesi;Finans;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Oðuz Kaan SALICI;ÝSTANBUL;;Marmara;CHP;1972;48;Gaziantep;Siyasetçi;CHP;Evli;2;Sheffield Üniversitesi;Siyaset Bilimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Onursal ADIGÜZEL;ÝSTANBUL;;Marmara;CHP;1985;35;Malatya;Mühendis;CHP;Evli;1;Boðaziçi Üniversitesi;Endüstri Mühendisi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Osman BOYRAZ;ÝSTANBUL;;Marmara;AK Parti;1974;46;Sivas;Mühendis;AKP;Evli;1;Yýldýz Teknik Üniversitesi;Harita Mühendisi;Yüksek Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Oya ERSOY;ÝSTANBUL;;Marmara;HDP;1970;50;Erzincan;Avukat;HDP;?;?;Gebze Yüksek Teknoloji Enstütüsü;Hukuk;Lisans;Yok;;Kadýn;;;;;;;;;;;
Özgür KARABAT;ÝSTANBUL;;Marmara;CHP;1974;46;Tokat;Ýþinsaný;CHP;Evli;1;Ankara Üniversitesi;Siyaset Bilimi;Yüksek Lisans;Yok;;Erkek;;;;;;;;;;;
Pervin BULDAN;ÝSTANBUL;;Marmara;HDP;1967;53;Hakkari;Siyasetçi;HADEP;Evli;2;Ýstanbul Üniversitesi;.;.;.;Kürtçe;Kadýn;;;;;;;;;;;
Ravza KAVAKCI KAN;ÝSTANBUL;;Marmara;AK Parti;1972;48;Ýstanbul;Siyasetçi;AKP;Evli;1;.;Siyaset Bilimi;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Rümeysa KADAK;ÝSTANBUL;;Marmara;AK Parti;1996;24;Ýstanbul;Siyasetçi;AKP;Bekar;0;Howard Üniversitesi;Ýngilizce Öðretmenliði;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Saliha Sera KADIGÝL SÜTLÜ;ÝSTANBUL;;Marmara;CHP;1984;36;Ýstanbul;Avukat;CHP;Evli;0;Marmara Üniversitesi;Hukuk;Yüksek Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Serap YAÞAR;ÝSTANBUL;;Marmara;AK Parti;1965;55;Malatya;Siyasetçi;AKP;Evli;2;Ýstanbul Üniversitesi;Hukuk;Lisans;Ýngilizce;Fransýzca;Kadýn;;;;;;;;;;;
Serkan BAYRAM;ÝSTANBUL;;Marmara;AK Parti;1974;46;Erzincan;Avukat;AKP;Evli;2;Ýstanbul Üniversitesi;Sosyal Bilimler;Yüksek Lisans;Yok;Fransýzca;Erkek;;;;;;;;;;;
Sibel ÖZDEMÝR;ÝSTANBUL;;Marmara;CHP;1979;41;Ýstanbul;Akademisyen;CHP;Bekar;0;Marmara Üniversitesi;Ekonomi;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Þamil AYRIM;ÝSTANBUL;;Marmara;AK Parti;1950;70;Iðdýr;Bankacý;AKP;Evli;2;Marmara Üniversitesi;Makine Mühendisliði;Lisans;.;;Erkek;;;;;;;;;;;
Þirin ÜNAL;ÝSTANBUL;;Marmara;AK Parti;1954;66;Sinop;Asker;AKP;Evli;3;Ýstanbul Teknik Üniversitesi;Asker;Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Turan AYDOÐAN;ÝSTANBUL;;Marmara;CHP;1964;56;Gümüþhane;Avukat;CHP;Evli;2;Hava Harp Okulu;Hukuk;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Tülay KAYNARCA;ÝSTANBUL;;Marmara;AK Parti;1969;51;Ýzmit;Gazeteci;AKP;Evli;3;Ankara Üniversitesi;Halkla Ýliþkiler;Yüksek Lisans;.;.;Kadýn;;;;;;;;;;;
Ümit BEYAZ;ÝSTANBUL;;Marmara;ÝYÝ Parti;1971;49;Gümüþhane;Ýþinsaný;Ýyi Parti;Evli;3;Ýstanbul Üniversitesi;.;Lise;.;.;Erkek;;;;;;;;;;;
Ümit ÖZDAÐ;ÝSTANBUL;;Marmara;ÝYÝ Parti;1961;59;Tokyo;Akademisyen;MHP;Evli;1;.;Siyaset Bilimi;Doktora;Ýngilizce;.;Erkek;;;;;;;;;;;
Vedat DEMÝRÖZ;ÝSTANBUL;;Marmara;AK Parti;1959;61;Bitlis;Ýþinsaný;AKP;Evli;3;Münih Ludwig Maximilians Üniversitesi ;Ýþletme;Lisans;.;.;Erkek;;;;;;;;;;;
Volkan BOZKIR;ÝSTANBUL;;Marmara;AK Parti;1950;70;Ankara;Diplomat;AKP;Evli;2;Marmara Üniversitesi;Hukuk;Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Yavuz AÐIRALÝOÐLU;ÝSTANBUL;;Marmara;ÝYÝ Parti;1972;48;Trabzon;Ýþinsaný;MHP;Evli;3;Ankara Üniversitesi;Siyaset Bilimi;Lisans;.;.;Erkek;;;;;;;;;;;
Yunus EMRE;ÝSTANBUL;;Marmara;CHP;1982;38;Ýzmit;Akademisyen;CHP;Evli;1;Ankara Üniversitesi;Siyaset Bilimi;Doktora;Ýngilizce;.;Erkek;;;;;;;;;;;
Yüksel Mansur KILINÇ;ÝSTANBUL;;Marmara;CHP;1961;59;Ýstanbul;Siyasetçi;CHP;Evli;1;Boðaziçi Üniversitesi;Siyaset Bilimi;Yüksek Lisans;Ýngilizce;.;Erkek;;;;;;;;;;;
Zafer SIRAKAYA;ÝSTANBUL;;Marmara;AK Parti;1974;46;Herne;Siyasetçi;AKP;Evli;3;Ýstanbul Üniversitesi;Siyaset Bilimi;Yüksek Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Zeynel EMRE;ÝSTANBUL;;Marmara;CHP;1981;39;Manisa;Siyasetçi;CHP;Evli;2;Wales Üniversitesi;Hukuk;Lisans;.;.;Erkek;;;;;;;;;;;
Zeynel ÖZEN;ÝSTANBUL;;Marmara;HDP;1957;63;Maraþ;Öðretmen;HDP;Evli;4;Bilgi Üniversitesi;;Mesleki Eðitim;Ýngilizce;Ýsveççe, Kürtçe;Erkek;;;;;;;;;;;
Züleyha GÜLÜM;ÝSTANBUL;;Marmara;HDP;1971;49;Ardahan;Avukat;HDP;?;?;Akþehir Öðretmen Okulu;Hukuk;Lisans;.;.;Kadýn;;;;;;;;;;;
Ahmet Tuncay ÖZKAN;ÝZMÝR;;Ege;CHP;1966;54;Ankara;Gazeteci;CHP;Evli;2;Ýstanbul Üniversitesi;Fen Bilimleri;Yüksek Lisans;.;.;Erkek;;;;;;;;;;;
Atila SERTEL;ÝZMÝR;;Ege;CHP;1956;64;Eskiþehir;Gazeteci;CHP;Evli;2;Gazi Üniversitesi;Gazetecilik;Yüksek Lisans;.;.;Erkek;;;;;;;;;;;
Aytun ÇIRAY;ÝZMÝR;;Ege;ÝYÝ Parti;1957;63;Ýzmir;Doktor;DYP;Evli;2;Ege Üniversitesi;Týp;Yüksek Lisans;.;Fransýzca;Erkek;;;;;;;;;;;
Bedri SERTER;ÝZMÝR;;Ege;CHP;1960;60;Ýzmir;Ýþinsaný;CHP;Evli;3;Ege Üniversitesi;Ýletiþim;Lisans;.;.;Erkek;;;;;;;;;;;
Binali YILDIRIM;ÝZMÝR;;Ege;AK Parti;1955;65;Erzincan;Ýþinsaný;AKP;Evli;3;9 Eylül Üniversitesi;Gemi Ýnþaatý;Yüksek Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Cemal BEKLE;ÝZMÝR;;Ege;AK Parti;1978;42;Ýzmir;Ýþinsaný;AKP;Evli;?;Ýstanbul Teknik Üniversitesi;Sosyoloji;Lisans;Ýngilizce;Ýtalyanca;Erkek;;;;;;;;;;;
Ceyda BÖLÜNMEZ ÇANKIRI;ÝZMÝR;;Ege;AK Parti;1978;42;Ankara;Ýþinsaný;AKP;Evli;2;Sakarya Üniversitesi;Ýþletme;Lisans;Ýngilizce;.;Kadýn;;;;;;;;;;;
Dursun Müsavat DERVÝÞOÐLU;ÝZMÝR;;Ege;ÝYÝ Parti;1960;60;Ankara;Ýþinsaný;MHP;Evli;1;Baþkent Üniversitesi;Ýþletme;Lisans;.;.;Erkek;;;;;;;;;;;
Ednan ARSLAN;ÝZMÝR;;Ege;CHP;1979;41;Erzincan;Ýþinsaný;CHP;Evli;2;Gazi Üniversitesi;Elektrik.Elektronik Mühendisliði Bölümü’;Lisans;.;.;Erkek;;;;;;;;;;;
Fehmi Alpay ÖZALAN;ÝZMÝR;;Ege;AK Parti;1973;47;Ýzmir;Sporcu;AKP;Evli;2;0;0;0;0;0;Erkek;;;;;;;;;;;
Hamza DAÐ;ÝZMÝR;;Ege;AK Parti;1980;40;Manisa;Avukat;AKP;Evli;2;Dokuz Eylül Üniversitesi;Hukuk;Lisans;.;.;Erkek;;;;;;;;;;;
Hasan KALYONCU;ÝZMÝR;;Ege;MHP;1969;51;Trabzon;Akademisyen;MHP;Evli;1;19 Mayýs;Biyoloji Öðretmenliði;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Kamil Okyay SINDIR;ÝZMÝR;;Ege;CHP;1962;58;Ýzmir;Akademisyen;;Evli;2;Ege Üniversitesi;Ziraat Mühendisliði;Doktora;Ýngilizce;Almanca, Fransýzca;Erkek;;;;;;;;;;;
Refik ÖZEN;BURSA;;Marmara;AK Parti;1975;45;Bursa;Ýþinsaný;;Evli;3;Uludað;Gýda;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Vildan YILMAZ GÜREL;BURSA;;Marmara;AK Parti;1976;44;Bursa;Avukat;;Evli;3;Marmara;Hukuk;Lisans;;;Kadýn;;;;;;;;;;;
Yüksel ÖZKAN;BURSA;;Marmara;CHP;1960;60;Bulgaristan;Týp;;Evli ;2;Cerrahpaþa;Týp;Lisans;Ýngilizce;"Bulgarca Rusça	Almanca";Erkek;;;;;;;;;;;
Zafer IÞIK;BURSA;;Marmara;AK Parti;1972;48;Bursa;Siyasetçi ;;Evli;2;Eskiþehir;Makine Mühendisliði;Lisans;;;Erkek;;;;;;;;;;;
Bülent TURAN;ÇANAKKALE;;Marmara;AK Parti;1975;45;Çanakkale;Avukat;;Evli ;3;Doðu Akdeniz;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Jülide ÝSKENDEROÐLU;ÇANAKKALE;;Marmara;AK Parti;1974;46;Balýkesir;Siyasetçi ;;Evli ;1;Anadolu;Ýktisat;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Muharrem ERKEK;ÇANAKKALE;;Marmara;CHP;1969;51;Çanakkale;Avukat;;Evli ;2;Ýstanbul;Hukuk;Lisans;;;Erkek;;;;;;;;;;;
Özgür CEYLAN;ÇANAKKALE;;Marmara;CHP;1973;47;Çanakkale;Muhasebeci;;Evli ;1;Eskiþehir;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Muhammet Emin AKBAÞOÐLU;ÇANKIRI;;Ýç Anadolu;AK Parti;1968;52;Ýstanbul;Avukat;;Evli;2;Ýstanbul ;Hukuk;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Salim ÇÝVÝTCÝOÐLU;ÇANKIRI;;Ýç Anadolu;AK Parti;1970;50;Çankýrý;Mühendis;;Evli ;2;Selçuk ;Ziraat Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet Sami CEYLAN;ÇORUM;;Karadeniz;AK Parti;1971;49;Çorum;Mühendis;;Evli;2;Çukurova;Ziraat Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Erol KAVUNCU;ÇORUM;;Karadeniz;AK Parti;1963;57;Çorum;Öðretmen;;Evli;3;Uludað;Ýlahiyat;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Oðuzhan KAYA;ÇORUM;;Karadeniz;AK Parti;1976;44;Çorum ;Avukat;;Evli;2;Marmara;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Tufan KÖSE;ÇORUM;;Karadeniz;CHP;1967;53;Çorum;Avukat;;Evli;2;Ankara;Hukuk;Lisans;;;Erkek;;;;;;;;;;;
Ahmet YILDIZ;DENÝZLÝ;;Ege;AK Parti;1964;56;Denizli;Bürokrat;;Evli;3;Uludað;Kamu Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cahit ÖZKAN;DENÝZLÝ;;Ege;AK Parti;1976;44;Denizli;Avukat;;Evli;3;Ýstanbul;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Gülizar BÝÇER KARACA;DENÝZLÝ;;Ege;CHP;1967;53;Aydýn ;Avukat;;Evli;1;Selçuk;Hukuk;Lisans;Almanca;;Kadýn;;;;;;;;;;;
Haþim Teoman SANCAR;DENÝZLÝ;;Ege;CHP;1970;50;Denizli;Ýþinsaný;;Evli;2;Anadolu ;Ýnþaat Mühendisliði;Lisans;;;Erkek;;;;;;;;;;;
Nilgün ÖK;DENÝZLÝ;;Ege;AK Parti;1970;50;Denizli;Ýþinsaný;;Evli;2;Bilkent ;Ýktisat;Yükseklisans;Ýngilizce;Almanca;Kadýn;;;;;;;;;;;
Þahin TÝN;DENÝZLÝ;;Ege;AK Parti;1966;54;Denizli;Ýþinsaný;;Evli;2;Anadolu ;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Yasin ÖZTÜRK;DENÝZLÝ;;Ege;ÝYÝ Parti;1972;48;Denizli;Mühendis;;Evli;3;Dokuz Eylül;Makine Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Dersim DAÐ;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1996;24;Diyarbakýr;Siyasetçi;;Bekar;0;Mardin Artuklu;Kürt Dili Edabiyatý;Lisans;;;Kadýn;;;;;;;;;;;
Ebubekir BAL;DÝYARBAKIR;;Güneydoðu Anadolu;AK Parti;1964;56;Diyarbakýr;Ýþinsaný;;Evli ;3;0;0;Ortaokul ;Kürtçe;0;Erkek;;;;;;;;;;;
Garo PAYLAN;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1972;48;Malatya;Sivil Toplum Yöneticisi;;Bekar;0;Ýstanbul;Ýþletme;Lisans;Ýngilizce;Ýspanyolca;Erkek;;;;;;;;;;;
Hiþyar ÖZSOY;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1977;43;Bingöl;Akademisyen;;Evli;?;Boðaziçi;Sosyoloji;Doktora;Ýngilizce;Kürtçe;Kadýn;;;;;;;;;;;
Ýmam TAÞÇIER;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1959;61;Diyarbakýr;Öðretmen;;Evli;2;Þanlýurfa;Sýnýf öðretmenliði;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Mehmet Mehdi EKER;DÝYARBAKIR;;Güneydoðu Anadolu;AK Parti;1956;64;Diyarbakýr;Bürokrat;;Evli;3;Ankara;Veterinerlik;Doktora;Ýngilizce ;Arapça Kürtçe;Erkek;;;;;;;;;;;
Oya ERONAT;DÝYARBAKIR;;Güneydoðu Anadolu;AK Parti;1962;58;Diyarbakýr;Mühendis;;Bekar;0;Fýrat;Ýnþaat;Lisans;Ýngilizce ;;Kadýn;;;;;;;;;;;
Remziye TOSUN;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1981;39;Diyarbakýr;Ev hanýmý;;Evli;4;0;0;Ýlkokul;Kürtçe;;Kadýn;;;;;;;;;;;
Ahmet ARSLAN;KARS;;Doðu Anadolu;AK Parti;1962;58;Kars;Bürokrat;;Evli ;1;ÝTÜ;Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði;Lisans;Ýngilizce ;;Erkek;;;;;;;;;;;
Yunus KILIÇ;KARS;;Doðu Anadolu;AK Parti;1965;55;Kars;Akademisyen;;Evli ;2;Ýstanbul Teknik;Öðretmen;Profesör;Ýngilizce ;;Erkek;;;;;;;;;;;
Hakký KÖYLÜ;KASTAMONU;;Karadeniz;AK Parti;1948;72;Kastomonu ;Avukat;;Evli ;2;Ankara;Savcý;Lisans;;;Erkek;;;;;;;;;;;
