Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Servet ÜNSAL;ANKARA;;Ýç Anadolu;CHP;1957;63;Sivas;Doktor;;Evli;2;Hacettepe;Týp;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Þenol SUNAT;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1956;64;Bursa;Akademisyen;;Evli;2;Anadolu;Temel Bilimler;Doktora;?;;Kadýn;;;;;;;;;;;
Tekin BÝNGÖL;ANKARA;;Ýç Anadolu;CHP;1955;65;Bitlis;Doktor;;Evli;3;Hacettepe;Týp;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Yalçýn AKDOÐAN;ANKARA;;Ýç Anadolu;AK Parti;1969;51;Ýstanbul;Gazeteci;;Evli;4;Marmara;Siyasal;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Yaþar YILDIRIM;ANKARA;;Ýç Anadolu;MHP;1956;64;Ankara;Siyasetçi;;Evli;2;Ankara;Mühendis;Yükseklisans;?;;Erkek;;;;;;;;;;;
Yýldýrým KAYA;ANKARA;;Ýç Anadolu;CHP;1958;62;Kýrþehir;Siyasetçi;;Evli;2;Eðitim Enstitüsü;Eðitim;Lisans;?;;Erkek;;;;;;;;;;;
Yýldýrým Tuðrul TÜRKEÞ;ANKARA;;Ýç Anadolu;AK Parti;1954;66;Ýstanbul;Ekonomist;;Evli;4;Hacettepe;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Zeynep YILDIZ;ANKARA;;Ýç Anadolu;AK Parti;1992;28;Ankara;Avukat;;?;?;Bilkent;Hukuk;Lisans;Ýngilizce;Fransýzca;Kadýn;;;;;;;;;;;
Abdurrahman BAÞKAN;ANTALYA;;Akdeniz;MHP;1964;56;Tokat;Ýþinsaný;;?;?;Atatürk;Ziraat;Lisans;?;;Erkek;;;;;;;;;;;
Atay USLU;ANTALYA;;Akdeniz;AK Parti;1970;50;Antalya;Bürokrat;;Evli;3;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Aydýn ÖZER;ANTALYA;;Akdeniz;CHP;1962;58;Antalya;Mühendis;;Evli;1;Anadolu;Mühendis;Lisans;?;;Erkek;;;;;;;;;;;
Cavit ARI;ANTALYA;;Akdeniz;CHP;1968;52;Antalya;Avukat;;Evli;2;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Çetin Osman BUDAK;ANTALYA;;Akdeniz;CHP;1960;60;Antalya;Ýþinsaný;;Evli;2;Dokuz Eylül;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Deniz BAYKAL;ANTALYA;;Akdeniz;CHP;1938;82;Antalya;Siyasetçi;;Evli;2;Ankara;Hukuk;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Feridun BAHÞÝ;ANTALYA;;Akdeniz;ÝYÝ Parti;1959;61;Antalya;Hakim;;Evli;2;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hasan SUBAÞI;ANTALYA;;Akdeniz;ÝYÝ Parti;1950;70;Antalya;Siyasetçi;;Evli;2;Ýstanbul;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Ýbrahim AYDIN;ANTALYA;;Akdeniz;AK Parti;1962;58;Antalya;Mühendis;;Evli;2;KTÜ;Mühendis;Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Kemal BÜLBÜL;ANTALYA;;Akdeniz;HDP;1963;57;Malatya;Öðretmen;;Evli;1;Trakya;Eðitim;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Kemal ÇELÝK;ANTALYA;;Akdeniz;AK Parti;1956;64;Antalya;Bürokrat;;Evli;3;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa KÖSE;ANTALYA;;Akdeniz;AK Parti;1977;43;Ýstanbul;Avukat;;Evli;3;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Rafet ZEYBEK;ANTALYA;;Akdeniz;CHP;1962;58;Antalya;Hakim;;Evli;2;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Sena Nur ÇELÝK;ANTALYA;;Akdeniz;AK Parti;1986;34;Antalya;Avukat;;?;?;LSE;Hukuk;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Tuba VURAL ÇOKAL;ANTALYA;;Akdeniz;AK Parti;1973;47;Antalya;Doktor;;Evli;2;Trakya;Týp;Yükseklisans;Ýngilizce;Almanca;Kadýn;;;;;;;;;;;
Orhan ATALAY;ARDAHAN;;Doðu Anadolu;AK Parti;1965;55;Ardahan;Akademisyen;;Evli;1;Atatürk;Ýlahiyat;Doktora;Arapça;Farsça;Erkek;;;;;;;;;;;
Öztürk YILMAZ;ARDAHAN;;Doðu Anadolu;Yenilik P;1970;50;Ardahan;Bürokrat;;Evli;3;Brüksel;Sosyal Bilimler;Yükseklisans;Ýngilizce;Rusça;Erkek;;;;;;;;;;;
Ertunç Erkan BALTA;ARTVÝN;;Karadeniz;AK Parti;1972;48;Artvin;Avukat;;?;?;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Uður BAYRAKTUTAN;ARTVÝN;;Karadeniz;CHP;1965;55;Artvin;Avukat;;Evli;2;Ankara;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Aydýn Adnan SEZGÝN;AYDIN;;Ege;ÝYÝ Parti;1956;64;Aydýn;Bürokrat;;Evli;1;Paris;Ýktisat;Yükseklisans;Fransýzca;Ýngiizce;Erkek;;;;;;;;;;;
Bekir Kuvvet ERÝM;AYDIN;;Ege;AK Parti;1957;63;Aydýn;Ýþinsaný;;Evli;2;Enstitü;Matematik;Önlisans;Ýngilizce;;Erkek;;;;;;;;;;;
Bülent TEZCAN;AYDIN;;Ege;CHP;1965;55;Samsun;Avukat;;Evli;2;Ankara;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hüseyin YILDIZ;AYDIN;;Ege;CHP;1967;53;Bingöl;Ýþinsaný;;Evli;1;Lise;;;Ýngilizce;;Erkek;;;;;;;;;;;
Metin YAVUZ;AYDIN;;Ege;AK Parti;1969;51;Aydýn;Ýþinsaný;;Evli;2;Atatürk;Ýletiþim;Lisans;?;;Erkek;;;;;;;;;;;
Mustafa SAVAÞ;AYDIN;;Ege;AK Parti;1965;55;Aydýn;Bankacý;;Evli;2;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
